youtube_id,description_en,acquired_from,description_ar,recording_date,location_latitude,location_longitude,weapons,location,reference_code,type_of_violation
vBJg67hNK3c,Remnants of chlorine barrel bombs which was dropped in Aleppo,Thiqa agency, استهداف حي السكري بالبراميل التي تحوي على غاز الكلور,2016-09-06 06:47:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",ALEPPO : Sukkari,CW_1437,Use of illegal weapons
nPD6I0X1At8,Victims as a result of the chemical attack,مركز حلب الإعلامي AMC,حالات الاختناق إثر استهداف طيران النظام حي السكري بغاز الكلور السام ,2016-09-06 06:35:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",ALEPPO : Sukkari,CW_1436,Use of illegal weapons
33iIKpUxKLE,Testimony with one of the white helmets team about the chemical gas attack in Marea,Yasser Alhaji,شهادة فريق الدفاع المدني حول الضربة الكيماوية في مارع,2016-08-16 09:11:00+00:00,,,[<Weapon: Chemical Weapons>],ALEPPO : Mar'e,CW_1384,Use of illegal weapons
6VN0SEVjoRU,Testimony about the victims symptoms who were treated in Marea hospital as a result of the chemical gas attack,,شهادة أحد الاطباء من مشفى مارع الميداني حول الاصابات نتيجة القصف الكيماوي على مارع,2016-08-16 09:01:00+00:00,,,[<Weapon: Chemical Weapons>],ALEPPO : Mar'e,CW_1383,Use of illegal weapons
Ca2OFdy0mwI,ISIS targeting Marea with chemical gas bombs ,Qasioun News Agency,استهداف قذائف صاروخية تحتوي على غازات سامة مدينة مارع بريف حلب,2016-08-16 08:42:00+00:00,,,[<Weapon: Chemical Weapons>],ALEPPO : Mar'e,CW_1382,Use of illegal weapons
kVapD-sctNM,ISIS targeting Marea with chemical gas bombs,RFS Media Office,"‫استهداف ‏مارع‬ في ريف حلب الشمالي بقذائف تحتوي مواد سامة من قبل داعش
",2016-08-16 08:22:00+00:00,,,[<Weapon: Chemical Weapons>],ALEPPO : Mar'e,CW_1381,Use of illegal weapons
-b8i0SCPr2A,Munition disposal as a result of chemical attack that targeted Marea,Yasser Alhaji, بقايا الصاروخ المحمّل بغاز كيماوي في مارع,2016-08-16 05:49:00+00:00,36.482356,37.199278,[<Weapon: Chemical Weapons>],ALEPPO : Mar'e,CW_1370,Use of illegal weapons
PDZbQP9vg3k,Survivors and doctor's testimonies about the chlorine gas attack, SMART News Agency - وكالة سمارت للأنباء ,"
شهادات ناجين وطبيب عن قصف حي الزبدية في حلب بغازات سامة
",2016-08-12 09:47:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",ALEPPO : Zabadiyah,CW_1351,Use of illegal weapons
Y6IfWwr4ZOU,Victims being treated in a hospital as a result of a chlorine gas attack. This includes an Interview with Alquds hospital manager, يمان خطيب,يتعالج الضحايا في المشفى نتيجة استهدافهم بغاز الكلور. مقابلة مع مدير مشفى القدس حول الضربة بغاز الكلور,2016-08-11 09:20:00+00:00,,,[<Weapon: Chemical Weapons>],ALEPPO : Zabadiyah,CW_1349,Use of illegal weapons
7qQuXmm4pjA,"The first moments when injured men, women and children started to get inside the Basel Aslan hospital to be treated as a result of chlorine gas attack.",waad alkateab, اللحظات الأولى لدخول الأطفال والنساء والرجال إلى مشفى الشهيد باسل أصلان للعلاج بسبب استهدافهم بصاروخ يحوي غاز الكلور,2016-08-10 19:00:00+00:00,36.185788,37.136342,[<Weapon: Chemical Weapons>],ALEPPO : Zabadiyah,CW_1347,Use of illegal weapons
1l2HKxACHm8,Video of rescue efforts showing victims as a result of chlorine gas attack. It includes witness testimonies. ,مركز حلب الإعلامي AMC,طيران النظام يستهدف حي الزبدية ببرميل متفجر يحوي غاز الكلور السام ,2016-08-10 17:00:00+00:00,,,[<Weapon: Chemical Weapons>],ALEPPO : Zabadiyah,CW_1348,Use of illegal weapons
4bHvZBVuTSI,Casualties (Two children and their mother) as a result of chlorine gas attack,الدفاع المدني السوري - حلب,"
استشهاد أمرأة وطفلين إثر قصف الطيران المروحي لحي الزبدية بالغازات السامة ",2016-08-10 09:35:00+00:00,,,[<Weapon: Chemical Weapons>],ALEPPO : Zabadiyah,CW_1350,Use of illegal weapons
, One of the casualties of the chemical attack Mouhmoud Al-Dekh. ,syria rebels gathering,أحد ضحايا القصف الكيماوي في تلبيسة محمود الضيخ,2015-10-31 15:31:55+00:00,,,[<Weapon: Chemical Weapons>],HOMS : Talbisah,CW_1340,Use of illegal weapons
,One of the casualties of the chemical attack Mouhammed Ryad Hadeed.,syria rebels gathering,أحد ضحايا القصف الكيماوي محمد رياض حديد ,2015-10-31 15:12:31+00:00,,,[<Weapon: Chemical Weapons>],HOMS : Talbisah,CW_1337,Use of illegal weapons
,Casualty of the chemical attack in Talbisah. His name is Farouq Ryad Hadeed.,Talbisah Media Center,أحد المصابين بالغازات السامة  فاروق رياض حديد ,2015-10-31 14:36:56+00:00,,,[<Weapon: Chemical Weapons>],HOMS : Talbisah,CW_1333,Use of illegal weapons
,Casualty of the chemical attack in Talbisah. His name is Mouhammed Ryad Hadeed. ,Talbisah Media Center,أحد المصابين بالغازات السامة محمد رياض حديد,2015-10-31 12:00:00+00:00,,,[<Weapon: Chemical Weapons>],HOMS : Talbisah,CW_1331,Use of illegal weapons
,Casualty of the chemical attack in Talbisah. His name is Mouhmoud Al-Dekh.,Talbisah Media Center,أحد المصابين بالغازات السامة محمود الضيخ,2015-10-31 12:00:00+00:00,,,[<Weapon: Chemical Weapons>],HOMS : Talbisah,CW_1332,Use of illegal weapons
,Casualties of the chemical attack at the medical point.,Talbisah Media Center,المصابين بالغازات السّامة في النقطة الطبية,2015-10-31 12:00:00+00:00,,,[<Weapon: Chemical Weapons>],HOMS : Talbisah,CW_1334,Use of illegal weapons
,Casualties of the chemical attack at the medical point. ,Talbisah Media Center,اسعاف المصابين بالغازات السامة في النقطة الطبية,2015-10-31 12:00:00+00:00,,,[<Weapon: Chemical Weapons>],HOMS : Talbisah,CW_1335,Use of illegal weapons
,Testimony of one of the doctors in Talbisah talking about the symptoms ,Talbisah Media Center,شهادة أحد الأطباء بخصوص حالات الاختناق بالغازات السامة والأعراض ,2015-10-31 12:00:00+00:00,,,[<Weapon: Chemical Weapons>],HOMS : Talbisah,CW_1336,Use of illegal weapons
,Casualties of the chemical attack at the medical point.,syria rebels gathering,اسعاف المصابين بالغازات السامة في النقطة الطبية,2015-10-31 12:00:00+00:00,,,[<Weapon: Chemical Weapons>],HOMS : Talbisah,CW_1338,Use of illegal weapons
, One of the casualties of the chemical attack Farouq Ryad Hadeed. ,syria rebels gathering,أحد المصابين بالغازات السامة فاروق رياض حديد,2015-10-31 12:00:00+00:00,,,[<Weapon: Chemical Weapons>],HOMS : Talbisah,CW_1339,Use of illegal weapons
x5DZzVEBuEo,Victim's testimony about the gas attack in Zahra'a Neighborhood by regime forces,الإعلامي سامي الرج, شهادة أحد المصابين جراء قيام قوات النظام بأستهداف حي جمعية الزهراء بقنابل تحتوي على مواد سامة,2015-09-03 10:19:00+00:00,,,[<Weapon: Chemical Weapons>],ALEPPO : Zahra,CW_1352,Use of illegal weapons
hXM_9WChsjI,ISIS targeting Marea with chemical bombs,وكالة شهبا برس Shahba Press Agency,"
قصف تنظيم داعش مارع بريف حلب بقذائف تحوي مواد كيماوية
",2015-09-01 12:45:00+00:00,,,[<Weapon: Chemical Weapons>],ALEPPO : Mar'e,CW_1388,Use of illegal weapons
X4xX76SNYos,Testimonies of Marea hospital doctors and victims as a result of chemical gas attack,,"شهادات طبيب ومدنيين نتيجة  استهداف داعش أحياء مدينة مارع بغاز الخردل
",2015-09-01 12:39:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Mustard Gas>]",ALEPPO : Mar'e,CW_1387,Use of illegal weapons
,Casualties of the chemical attack,Majed Abu_Yamen who is a citizen reporter, احدى الاصابات بالغاز السام على جبهات الرستن,2015-08-29 13:12:07+00:00,,,[<Weapon: Chemical Weapons>],HOMS : Rastan,CW_1328,Use of illegal weapons
,Casualties of the chemical attack,Majed Abu_Yamen who is a citizen reporter,حالة اختناق بسبب الغازات السامة,2015-08-29 12:44:01+00:00,,,[<Weapon: Chemical Weapons>],HOMS : Rastan,CW_1327,Use of illegal weapons
8FDqnnbA8_g,Testimony of one of the white helmet's team about the chemical attack in Marea, anmar housen ,شهادة احد متطوعي الدفاع المدني حول الضربة الكيماوية في مارع,2015-08-21 15:07:00+00:00,,,[<Weapon: Chemical Weapons>],ALEPPO : Mar'e,CW_1406,Use of illegal weapons
YcShaNT_arY,Doctor's and civilian testimony about poisoned gas attack in Marea,أبراهيم الخطيب – مراسل أورينت نيوز,مقابلة مع دكتور في مشفى مارع ومدني حول استهداف مارع بالغازات السامة,2015-08-21 12:30:00+00:00,,,[<Weapon: Chemical Weapons>],ALEPPO : Mar'e,CW_1386,Use of illegal weapons
mWk8ObYs6do,Doctor's testimony about chemical gas attack in Marea. Remnants of the chemical bomb used by ISIS. ,وكالة شهبا برس Shahba Press Agency,"
حالات اختناق بين المدنيين نتيجة استهداف تنظيم داعش لمارع بقذائف ومدفعية تحمل مواد سامة
",2015-08-21 12:05:00+00:00,,,[<Weapon: Chemical Weapons>],ALEPPO : Mar'e,CW_1385,Use of illegal weapons
AGdRzibZrss,Victims as a result of poisoned gas attack,, اصابات باستنشاق غازات سامة,2015-07-27 14:28:00+00:00,,,[<Weapon: Chemical Weapons>],DAMASCUS : Irbin nahiyah,CW_1359,Use of illegal weapons
UPrFiQBnpuU,Victims as a result of poisoned gas attack in Harasta,,"بعض الإصابات نتيجة تعرض أحد جبهات حرستا لهجوم بالغاز السام 
",2015-07-21 12:37:00+00:00,,,[<Weapon: Chemical Weapons>],DAMASCUS : Harasta nahiyah,CW_1356,Use of illegal weapons
,Casualties of the chlorine chemical attack,Nour Aldeen Zenki Movement,توثيق بعض حالات الإصابة بغاز الكلور,2015-07-07 00:00:00+00:00,36.197971,37.1656697,[<Weapon: Chemical Weapons>],ALEPPO,CW_1042,Use of illegal weapons
vFj-gtbPBqo,The location where the chlorine barrel bomb exploded in Idlib,تنسيقية سرمين,"
ادلب سرمين: المكان الذي أستهدف ببرميل من غاز الكلور 
",2015-05-16 15:24:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1360,Use of illegal weapons
u4nADXs6mNQ,Victims (including children) as a result of chlorine gas attack in Mashmashan village. ,,"ريف إدلب: عشرات المصابين بغاز الكلور في قرية مشمشان
",2015-05-15 05:02:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Mashmashan,CW_1355,Use of illegal weapons
,The family of the Infant Mustafa Haj_Ali who got infected as a result of the chemical attack in Nayrab,Caesar Abboud,"أهل الطفل مصطفى حاج علي أحد ضحايا الهجمة الكيماوية بالكلور في بلدة النيرب
",2015-05-06 13:35:49+00:00,35.8666737,36.7166519,[<Weapon: Chemical Weapons>],IDLIB,CW_1343,Use of illegal weapons
,The location of the chemical attack in Nayrab,Step News Agency,"مكان سقوط البرميل الذي يحتوي على غاز الكلور في النيرب بـ ""ادلب""",2015-05-02 13:50:13+00:00,35.8666737,36.7166519,[<Weapon: Chemical Weapons>],IDLIB,CW_1344,Use of illegal weapons
MRk0TRM1Lg8,Victims (children) as a result of chlorine gas attack,sham almjd,"ادلب سراقب:عدد كبير من الأطفال المصابين بغاز الكلور 2_5_2015
",2015-05-02 03:53:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Saraqib nahiyah,CW_1353,Use of illegal weapons
Ahl-eHebnyk,"Infant causality as a result of the chemical attack in Nayrab
",Coordinating Sermin,اختناق الطفل مصطفى حاج علي بعد استنشاقه غاز الكلور السام. النيرب، ادلب. ,2015-05-01 12:04:00+00:00,35.8666737,36.7166519,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",IDLIB : Al nerab,CW_1342,Use of illegal weapons
,"The Idlib civil defence team is collecting samples, and documenting the chemical attack which was carried on by a helicopter. ",Idlib civil defence, فريق الدفاع المدني يقوم بتوثيق القصف الكيماوي بالبراميل المروحية على سراقب,2015-04-29 22:52:05+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Saraqib nahiyah,CW_1341,Use of illegal weapons
lxsozAjs-pI,Documenting the chlorine barrel bomb in Idlib,Mohamad Salim,"
كورين :بالفيديو توثيق برميل الكلور بعد القاءه بلحظات 
",2015-04-28 08:05:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Kourin,CW_1361,Use of illegal weapons
hsROM2CY2Wc,Victims as a result of chlorine gas attack,,"حالات اختناق غاز كلور 
",2015-04-26 14:14:00+00:00,,,[<Weapon: Chemical Weapons>],HAMA : Al hawash,CW_1358,Use of illegal weapons
DIkc9uykuoc,"Victims as a result of chlorine gas attack
",,حالات اختناق غاز كلور ,2015-04-26 12:52:00+00:00,,,[<Weapon: Chemical Weapons>],HAMA : Al hawash,CW_1357,Use of illegal weapons
A2GNP5n4gzY,Kafr Oweid was attacked with barrels loaded with chlorine gas causing more than 90 casualties,,استهداف كفر عويد ببراميل محملة بغاز الكلور وإصابة اكثر من ٩٠ مدني,2015-04-26 05:32:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",IDLIB : Kafr aweed,CW_1371,Use of illegal weapons
xmfLFxm6hrg,"
Suffocation cases as a result of a poisoned gas barrel bomb attack
",,حالات اختناق لمدنيين نتيجة القصف بالبراميل التي تحوي غازات سامة,2015-04-16 11:58:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1368,Use of illegal weapons
PVpoTbOptgQ,Washing effected people with water as a result of chemical gas attack,,"
غسل المصابين بالماء من قبل الدفاع المدني لتعرضهم للغاز الكيماوي
",2015-04-16 11:47:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1367,Use of illegal weapons
yJJUMofu4Vo,Injured people being rescued to Sarmin field hospital as a result of chlorine barrel bombs attack,,المشفى الميداني في سرمين اسعاف المصابين بغاز الكلور نتيجة استهداف مدينة ادلب,2015-04-16 11:23:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1366,Use of illegal weapons
KksQb6kER7k,Barrel bomb contains 6 cylinders allegedly loaded with poisoned gases in Idlib,وكالة الأناضول للأنباء,"
اسطوانات مملؤة بمادة غريبة في برميل لم ينفجر بإدلب السورية
",2015-04-13 09:10:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Hobait,CW_1363,Use of illegal weapons
vbDvRlMPuZQ,The location that was attacked by a chlorine bomb in Hamah,,"
الدفاع المدني السوري حماه مركز 107 مكان سقوط الحاوية التي تحتوي عل غاز الكلور بكفرزيتا بريف حماه
",2015-04-10 09:59:00+00:00,,,[<Weapon: Chemical Weapons>],HAMA : KafrZita,CW_1364,Use of illegal weapons
PbckiaHbpks,Chlorine barrel bomb dropped by a helicopter in Idlib country side,Sas News Agency,"
الطيران المروحي يلقي برميل متفجر بغاز الكلور على قرية التمانعة بريف إدلب ",2015-04-10 08:37:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Tamana'ah nahiyah,CW_1362,Use of illegal weapons
JBX-iposfDQ,Washing victims with water as a result of the chemical attack in ,,إزالة التلوث عن المصابين بالكيماوي من قبل فريق الدفاع المدني,2015-03-31 11:46:00+00:00,35.927483,36.632169,[<Weapon: Chemical Weapons>],IDLIB,CW_1397,Use of illegal weapons
,The civil defence team collecting remains of chlorine gas bomb which was sued by Syrian air force ,SMART_News_Agency,الدفاع المدني في بنش يقوم بجمع إسطوانات الغازالسام التي ألقاها طيران النظام المروحي,2015-03-26 14:46:14+00:00,35.957925,36.711673,[<Weapon: Chemical Weapons>],IDLIB : Binnish,CW_1346,Use of illegal weapons
,Casualties of the chemical attack,Coordinating Sermin,ادلب سرمين:اسعاف المصابين بغاز الكلور,2015-03-26 00:00:00+00:00,35.900312,36.716094,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",IDLIB : Sarmin nahiyah,CW_1220,Use of illegal weapons
QRxLd9r2t8w,"
Suffocation cases as a result of chlorine barrel bombs attacks
",,"
حالات اختناق نتيجة القصف ببراميل تحوي غاز الكلور ",2015-03-25 10:53:00+00:00,,,[<Weapon: Chemical Weapons>],DAMASCUS : Al-Qadam,CW_1365,Use of illegal weapons
452547924893275,Victims as a result of the chemical gas attack in Binnish,,ضحايا وحالات اختناق جراء القاء الطيران المروحي الحكومي قنبلتين برميليتين تحويان غازات سامة على مدينة بنش في ادلب,2015-03-24 09:45:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Binnish,CW_1394,Use of illegal weapons
-IDI7tNgiVE,Victims as a result of the chlorine gas attack in Qominas,, اصابات بغاز الكلور التي القته مروحية النظام على قرية قميناس,2015-03-24 05:13:00+00:00,,,"[<Weapon: Chemical Weapons>, <Weapon: Chlorine Gas>]",IDLIB : Qominas,CW_1409,Use of illegal weapons
,Causalities as a result of chemical attack using Chlorine gas.,Eldorar Al-Shamyah,حالات اختناق بسبب الهجمات الكيماوية بغاز الكلور,2015-03-23 14:30:39+00:00,35.957925,36.711673,[<Weapon: Chemical Weapons>],IDLIB : Binnish,CW_1345,Use of illegal weapons
1ebkWL6RMCQ, Testimonies of the civilians living in the area that was attacked with chemical gas , تنسيقية سرمين,شهادة الأهالي حول استهداف منطقتهم بغاز الكلور,2015-03-23 05:34:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1411,Use of illegal weapons
cqlS_zgLRl0,Testimonies of the civilians living in the area that was attacked with chemical gas,,شهادة إحدى قاطنات المنطقة التي تعرضت لغاز الكلور,2015-03-23 05:30:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1410,Use of illegal weapons
g0lb_jiVBOw,Remnants of the barrel bomb that contained chemical gas,Syrian Civil Defenc eIdlib,مكان البرميل الذي يحوي الغازات السامة,2015-03-23 05:04:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1408,Use of illegal weapons
,Remnants of the barrel bomb that contained chlorine gas,Shaam Network S.N.N,بقايا البرميل المتفجر المحمل بغاز الكلور,2015-03-23 00:00:00+00:00,36.197971,37.1656697,[<Weapon: Chemical Weapons>],ALEPPO,CW_1041,Use of illegal weapons
yzGcHdR2AVs,6 casualties and 70 injured as a result of chemical gas attack in Sarmin, SMART News Agency - وكالة سمارت للأنباء ,"
ستة قتلى وسبعين مصاباً في قصف جوي بغاز سام قرب سرمين بريف ادلب
",2015-03-17 16:46:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1391,Use of illegal weapons
qnp00TocRSY,Waref Mouhammed Taleb who died as a result of the chemical gas attack,بهاء الدين عبد الرزاق, الشهيد وارف محمد طالب الذي قضى جراء القصف بالغازات السامة,2015-03-17 15:24:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1407,Use of illegal weapons
ja_Osq_RTqU, Victims being treated in a field hospital as a result of the chemical gas attack ,بهاء الدين عبد الرزاق, إصابات عديدة في المشفى الميداني جراء القصف بالغازات السامة في سرمين ,2015-03-17 14:57:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1405,Use of illegal weapons
JpGJnDtGQFk,Victims being treated in a field hospital as a result of the chemical gas attack,,إصابات عديدة في المشفى الميداني جراء القصف بالغازات السامة في سرمين,2015-03-17 14:49:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1404,Use of illegal weapons
JIlBRb2aFzo,Children casualties as a result of the chemical gas attack,,إستشهاد الأطفال جراء إستنشاق الغازات السامة,2015-03-17 14:37:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1403,Use of illegal weapons
nu-rpMa5l0M, Testimony by one of the white helmet's team as he was effected by the chemical gas attack ,, شهادة احد اعضاء الدفاع المدني الذي تعرض للاصابة بالكيماوي ,2015-03-17 12:53:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1402,Use of illegal weapons
iM1fnBgSfAc, Testimony by one of the white helmet's team as he was effected by the chemical gas attack ,Syrian Civil Defenc eIdlib, شهادة احد اعضاء الدفاع المدني الذي تعرض للاصابة بالكيماوي ,2015-03-17 12:41:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1401,Use of illegal weapons
sEPLW6Ur-Wo,Testimony by one of the white helmet's team as he was effected by the chemical gas attack ,,شهادة احد اعضاء الدفاع المدني الذي تعرض للاصابة بالكيماوي,2015-03-17 12:36:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1400,Use of illegal weapons
F0Ndy0Cimus,Testimony by one of the white helmet's team as he was effected by the chemical gas attack ,,شهادة احد اعضاء الدفاع المدني بعد تعرضه للاصابة بالكيماوي,2015-03-17 12:18:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1399,Use of illegal weapons
EMyr9ZXpxTg,Testimony by one of the white helmet's team as he was effected by the chemical gas attack,,شهادة احد اعضاء الدفاع المدني بعد تعرضه للاصابة بالكيماوي,2015-03-17 12:07:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1398,Use of illegal weapons
,One of the barrels dropped on Telmenes,Coordinating Sermin,إحدى براميل الكيماوي التي تم إلقائها على مدينة سرمين ,2015-03-17 00:00:00+00:00,35.900312,36.716094,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1222,Use of illegal weapons
,Civil Defence media report on the chemical attack,Coordinating Sermin,اعلامي الدفاع المدني متكلما عن مجريات مجزرة الكيماوي,2015-03-17 00:00:00+00:00,35.900312,36.716094,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1224,Use of illegal weapons
,The site of the chemical attack,Coordinating Sermin,الموقع الذي حدثت فيه مجزرة الكيماوي,2015-03-17 00:00:00+00:00,35.900312,36.716094,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1225,Use of illegal weapons
SMVkFIlY5II,Civilians suffocating as a result of a chemical gas attack,محمد فاضل,حالات اختناق من جراء استهداف مدينة سرمين بالكيماوي ,2015-03-16 13:51:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1390,Use of illegal weapons
MmNBLUtP3hw,One of the doctor's testimony about the victims as a result of the chemical gas attack,محمد فاضل,احد الاطباء يتحدث عن الضربة الكيماوية والاصابات الناتجة عنها,2015-03-16 13:27:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1389,Use of illegal weapons
21K2g_LkSts,Victims as a result of chemical gas attack in Sarmin,,اسعاف المصابين بالغاز الكيماوي في سرمين,2015-03-16 12:37:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1395,Use of illegal weapons
k7TwicGkTdo,One of the injured from the white helmet's team as a result of the chemical gas attack,,اصابة طواقم الانقاذ من الدفاع المدني اثناء اسعاف المصابين بالغاز الكيماوي ,2015-03-16 10:38:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1396,Use of illegal weapons
J6c6A1Qnbbw,Children casualties as a result of the chemical attack in Sarmin,محمد فاضل,محاولة انعاش الأطفال المصابين نتيجة القصف الكيماوي على سرمين,2015-03-16 07:44:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1393,Use of illegal weapons
LgYKIJt-z2s,Casualties as a result of the chemical attack,محمد فاضل, استشهاد عائلة كاملة نتيجة الغازات السامة ,2015-03-16 07:03:00+00:00,,,[<Weapon: Chemical Weapons>],IDLIB : Sarmin nahiyah,CW_1392,Use of illegal weapons
,The moment of impact of the barrel which contains chemical gas,Halab News Network,لحظة سقوط برميل بداخله غازات الكلور على جبهة البريج,2015-03-16 00:00:00+00:00,36.15,37.0833333,[<Weapon: Chemical Weapons>],ALEPPO : Front Al-Burayj,CW_1026,Use of illegal weapons
